awards,budget,openingwknd,metacritic,locs,release_date,gross,nudity_score,violence_score,profanity_score,alcohol_score,frightening_score,year,month,cci,sequel
13.0,32253218.88412017,18276824.034334764,53.0,8.0,2013-10-18,37915399.39699571,3,22,1,2,3,2013,"(10, 2013)",98.75199,0
17.0,64506437.76824034,10038230.594420599,33.0,6.0,2013-08-21,33506171.504291844,12,50,2,5,4,2013,"(8, 2013)",99.36323,0
5.0,19057480.980557904,13939488.588334745,58.0,7.0,1988-11-09,70395548.11496197,4,11,5,2,6,1988,"(11, 1988)",100.8323,0
1.0,24915837.79648049,20543146.59525632,37.0,8.0,1990-11-09,54626259.00918134,1,11,6,1,3,1990,"(11, 1990)",97.48004,1
3.0,47915072.68553941,14375978.423871465,62.0,2.0,1990-11-02,50059465.76511095,8,14,1,2,4,1990,"(11, 1990)",97.48004,0
5.0,67081101.75975518,16837247.295332827,46.0,15.0,1990-11-21,58781086.12471309,1,10,1,2,1,1990,"(11, 1990)",97.48004,1
6.0,95830145.37107882,18591048.201989293,63.0,6.0,1990-06-15,79504918.54246368,3,2,0,1,1,1990,"(6, 1990)",100.2381,1
45.0,58132911.39240506,13891979.556962024,66.0,10.0,2015-10-16,32826011.48734177,1,7,1,1,2,2015,"(10, 2015)",100.3768,0
18.0,15854430.379746836,17221425.79113924,49.0,2.0,2015-12-04,45018686.772151895,0,3,3,4,4,2015,"(12, 2015)",100.5878,0
4.0,10569620.253164556,11142616.278481012,32.0,6.0,2015-08-21,29316722.107594933,4,28,3,3,4,2015,"(8, 2015)",100.5166,1
7.0,4227848.1012658235,15759414.778481012,30.0,4.0,2015-01-23,37401193.16455696,7,9,11,1,3,2015,"(1, 2015)",101.0298,0
4.0,15854430.379746836,15883406.993670885,42.0,2.0,2015-01-02,28005882.03164557,1,8,1,1,5,2015,"(1, 2015)",101.0298,1
1.0,105696.20253164557,10585474.683544304,30.0,6.0,2015-07-10,24054150.462025315,0,0,0,0,0,2015,"(7, 2015)",100.7038,0
2.0,3487974.6835443038,10784645.43670886,31.0,1.0,2015-02-27,27268608.74050633,1,11,2,2,6,2015,"(2, 2015)",101.0321,0
9.0,1056962.0253164556,16935702.53164557,59.0,1.0,2015-04-17,34332335.63291139,10,5,3,14,4,2015,"(4, 2015)",100.8826,0
5.0,38479262.67281105,12748501.666666664,52.0,5.0,2005-07-08,32673193.42549923,6,22,2,3,3,2005,"(7, 2005)",100.6215,0
3.0,76958525.34562209,19866676.574500766,34.0,3.0,2005-10-21,35954061.05990783,6,12,2,1,2,2005,"(10, 2005)",99.10257,0
2.0,23087557.603686634,15074786.013824886,27.0,6.0,2005-10-14,37852194.347158216,7,3,1,1,2,2005,"(10, 2005)",99.10257,0
16.0,38479262.67281105,15490771.213517666,41.0,3.0,2005-05-06,41127662.05837173,6,19,1,3,2,2005,"(5, 2005)",100.4673,0
3.0,14975543.47826087,16370878.85054348,23.0,6.0,2003-01-24,44315895.09782609,1,2,1,1,3,2003,"(1, 2003)",99.47523000000001,0
5.0,92576086.95652172,20458529.68206522,35.0,8.0,2003-03-21,45900634.33695652,3,35,1,1,2,2003,"(3, 2003)",99.40132,0
6.0,23144021.739130434,25002652.777173914,36.0,2.0,2003-08-29,48557815.80978261,5,17,2,3,4,2003,"(8, 2003)",100.3171,1
9.0,22971114.16781293,17396819.55983494,57.0,7.0,2010-01-08,34573338.09491059,2,18,3,6,2,2010,"(1, 2010)",98.43108000000001,0
0.0,29862448.41815681,20101591.299862448,32.0,2.0,2010-01-22,46135277.57909216,3,15,1,1,2,2010,"(1, 2010)",98.43108000000001,0
2.0,11485557.083906464,14115031.8088033,44.0,10.0,2010-09-17,38572147.35213205,6,20,3,3,5,2010,"(9, 2010)",97.8675,0
17.0,2067400.2751031641,23392189.62173315,63.0,3.0,2010-08-27,47130236.93259972,4,16,3,2,6,2010,"(8, 2010)",97.91743000000001,0
11.0,22971114.16781293,18454478.569463547,55.0,7.0,2010-02-26,44935621.4786795,1,15,1,2,8,2010,"(2, 2010)",98.48524,0
6.0,31749049.429657795,10308356.508238276,40.0,2.0,2014-07-02,32359818.59315589,10,19,1,9,5,2014,"(7, 2014)",99.45006,0
19.0,5291508.238276299,12705336.717363752,61.0,4.0,2014-04-11,29309924.474017747,0,14,2,1,7,2014,"(4, 2014)",99.49786999999999,0
3.0,5291508.238276299,19413073.745247148,42.0,1.0,2014-01-03,34354981.77439797,4,1,16,2,5,2014,"(1, 2014)",99.32401,1
4.0,27845709.204090703,9496197.705646953,56.0,3.0,2011-08-26,26779207.40329035,1,4,2,1,1,2011,"(8, 2011)",96.85764,0
8.0,44553134.72654513,20083880.38239217,50.0,3.0,2011-08-12,47435324.90662516,8,17,1,1,1,2011,"(8, 2011)",96.85764,1
3.0,66829702.08981769,16655815.171187192,41.0,11.0,2011-05-13,32453200.591373947,0,44,0,2,0,2011,"(5, 2011)",98.20944,0
5.0,46780791.46287239,15599539.428634947,29.0,4.0,2011-03-11,41949184.44197421,10,45,3,6,6,2011,"(3, 2011)",98.28220999999999,0
7.0,44553134.72654513,20819780.10226767,52.0,10.0,2011-04-15,42527000.72921298,6,12,10,4,5,2011,"(4, 2011)",98.22485,1
6.0,41211649.62205424,16472845.471320584,38.0,6.0,2011-01-28,36809391.13606047,4,8,2,1,1,2011,"(1, 2011)",98.5696,0
