awards,budget,openingwknd,metacritic,locs,release_date,gross,nudity_score,violence_score,profanity_score,alcohol_score,frightening_score,year,month,cci,sequel
6.0,24370199.69278033,30151076.566820275,33.0,9.0,2005-04-15,83671064.69278033,2,10,1,1,2,2005,"(4, 2005)",100.4004,1
3.0,12826420.89093702,30929073.38709677,30.0,1.0,2005-01-07,72324030.36098309,1,10,3,1,3,2005,"(1, 2005)",100.9649,0
3.0,3445667.1251719394,46721436.09353507,53.0,4.0,2010-10-22,97343435.13755158,7,47,2,3,8,2010,"(10, 2010)",97.96423,1
13.0,40199449.79367263,37790123.33562586,35.0,12.0,2010-04-30,72445163.94085282,7,14,1,3,3,2010,"(4, 2010)",98.46212,1
11.0,172283356.25859696,40836972.86795048,43.0,9.0,2010-02-12,71187115.26822558,1,7,2,1,2,2010,"(2, 2010)",98.48524,0
10.0,68913342.50343879,30609312.847317744,37.0,7.0,2010-09-10,69061007.71664374,1,46,2,1,5,2010,"(9, 2010)",97.8675,1
10.0,6878960.709759189,39299243.25095057,37.0,1.0,2014-10-03,89187115.15209125,3,14,3,5,5,2014,"(10, 2014)",100.0317,0
8.0,74081115.3358682,24885555.79847909,40.0,10.0,2014-10-10,59561592.42712294,2,1,1,1,4,2014,"(10, 2014)",100.0317,1
8.0,9524714.828897338,31555036.280101396,50.0,5.0,2014-07-18,76158349.80988593,1,16,1,4,1,2014,"(7, 2014)",99.45006,1
13.0,40842391.30434783,49593644.20108696,37.0,10.0,2003-08-15,112483560.20380434,14,60,1,5,7,2003,"(8, 2003)",100.3171,1
21.0,12525000.0,38247557.10326087,38.0,7.0,2003-10-17,109691302.05163044,3,9,2,4,3,2003,"(10, 2003)",100.4281,1
5.0,122527173.91304348,33052944.04891305,34.0,6.0,2003-11-26,103259457.24456522,2,1,1,1,1,2003,"(11, 2003)",100.7156,0
10.0,54456521.73913044,26259531.08152174,38.0,4.0,2003-11-21,81268979.83695653,4,1,4,1,1,2003,"(11, 2003)",100.7156,0
41.0,71418389.16607271,54495228.72059871,57.0,4.0,1992-11-13,147341118.2822523,22,37,2,3,44,1992,"(11, 1992)",99.61964,1
6.0,12425595.23809524,41762911.43601191,48.0,1.0,2006-10-27,99701390.68452382,2,21,1,3,4,2006,"(10, 2006)",100.4398,1
4.0,61303797.46835443,24963916.78481013,60.0,9.0,2015-10-16,84641919.57594937,4,10,2,1,1,2015,"(10, 2015)",100.3768,0
15.0,5284810.126582278,26875965.316455696,55.0,8.0,2015-09-11,68920376.80379747,3,4,2,1,7,2015,"(9, 2015)",100.3479,0
15.0,163654181.184669,32387461.398083623,55.0,9.0,2012-05-11,86984541.91855401,3,8,1,1,2,2012,"(5, 2012)",98.80396,0
1.0,76371951.21951221,27610342.388937283,39.0,3.0,2012-01-20,67993990.72081882,5,51,2,1,3,2012,"(1, 2012)",98.44693000000001,1
8.0,27775647.66839378,17902604.207253885,79.0,11.0,1982-06-04,198858789.01554403,6,8,7,3,14,1982,"(6, 1982)",97.56855,1
4.0,46713286.71328671,32008304.91608392,30.0,5.0,2009-08-28,77634796.50349651,5,18,1,7,2,2009,"(8, 2009)",97.88279,1
6.0,22188811.18881119,50900489.3916084,34.0,10.0,2009-02-13,75911448.76223776,15,19,2,5,2,2009,"(2, 2009)",96.70776,1
12.0,69156441.71779141,26239269.49693252,45.0,10.0,1998-08-21,107711493.0,2,21,1,4,2,1998,"(8, 1998)",101.9127,0
6.0,23231854.83870968,24335224.51209677,38.0,7.0,1989-04-21,116097010.80241936,5,14,1,2,8,1989,"(4, 1989)",100.6417,0
